Date,Open,High,Low,Close,Volume,Adj Close
7/7/16,41.330002,42.060001,41.09,41.290001,24585500,41.140838
7/8/16,41.799999,42.27,41.630001,41.98,29468600,41.828344
7/11/16,42.389999,42.75,42.290001,42.290001,19752600,42.137225
7/12/16,42.82,43.48,42.759998,43.439999,23803600,43.283068
7/13/16,43.330002,43.68,43.02,43.330002,20488200,43.173469
7/14/16,44.380001,44.77,44.119999,44.450001,37093600,44.289422
7/15/16,44.450001,45.029999,43.849998,44.330002,29198800,44.169856
7/18/16,44.279999,44.900002,44.240002,44.57,18683900,44.408987
7/19/16,44.189999,44.689999,44.060001,44.349998,15297300,44.189781
7/20/16,44.529999,44.700001,44.200001,44.470001,16547100,44.30935
7/21/16,44.5,44.700001,44.110001,44.130001,14924900,43.970578
7/22/16,44.099998,44.360001,43.830002,44.299999,12764200,44.139962
7/25/16,44.310001,44.360001,43.91,44.040001,14391400,43.880903
7/26/16,43.93,44.240002,43.900002,44.150002,16152500,43.990506
7/27/16,44.200001,44.709999,44.130001,44.290001,17814200,44.13
7/28/16,44,44.169998,43.68,44.080002,13239600,44.080002
7/29/16,43.869999,44.16,43.759998,43.810001,13773700,43.810001
8/1/16,43.919998,44.02,43.240002,43.419998,14794400,43.419998
8/2/16,43.23,43.630001,42.5,42.990002,20089100,42.990002
8/3/16,42.93,43.939999,42.860001,43.889999,14708300,43.889999
8/4/16,43.740002,44.040001,43.66,43.84,11747900,43.84
8/5/16,44.630001,45.73,44.509998,45.720001,28566800,45.720001
8/8/16,45.830002,46.16,45.48,45.959999,16861600,45.959999
8/9/16,45.950001,46.110001,45.669998,45.900002,12203800,45.900002
8/10/16,45.799999,45.900002,45.389999,45.450001,16566700,45.450001
8/11/16,45.509998,45.91,45.290001,45.73,14819400,45.73
8/12/16,45.41,45.599998,45.220001,45.580002,12472900,45.580002
8/15/16,45.82,46.5,45.82,46.389999,12252700,46.389999
8/16/16,46.25,46.790001,46.139999,46.619999,15202100,46.619999
8/17/16,46.509998,46.799999,46.380001,46.630001,17899300,46.630001
8/18/16,46.57,46.700001,46.209999,46.5,14190300,46.5
8/19/16,46.34,46.59,46.02,46.529999,12207600,46.529999
8/22/16,46.419998,46.75,46.25,46.66,10982000,46.66
